,Document/Program/Project Title,Document/Project Date,Action,Document Lead Authors/Project Contact,FP&M Department,Academic/Research/UW Divisions 1,Academic/Research/UW Divisions 2,Academic/Research/UW Divisions 3,Student Organization 1,Student Organization 2,Student Organization 3,Number of Student Participants/yr/class,Total Students Participants,Document Name (if applicable),Document Type,Partnership Type,
,Capstone Biocore: Mammal Trapping ,2003,,"Bryn Scriver (FPM)\, McDonald\, Mara/Brooks\, Lauren",FP&M Campus Planning and Landscape Architecture,Biocore,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Bot/Zoo 460: Bird Foraging Picnic Point,2003,,"Bryn Scriver (FPM)\, Will-Wolf\, Susan/Botany/Zoology ",FP&M Campus Planning and Landscape Architecture,Botany,Zoology,Lakeshore Nature Preserve,,,,90,?,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Bot/Zoo 460: Leaf Litter Invertebrates ,2003,,"Bryn Scriver (FPM)\, Will-Wolf\, Susan/Botany/Zoology ",FP&M Campus Planning and Landscape Architecture,Botany,Zoology,Lakeshore Nature Preserve,,,,90,?,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Bot/Zoo 460: Tree Sampling Muir Woods,2003,,"Bryn Scriver (FPM)\, Will-Wolf\, Susan; Fry\, Tricia/Botany/Zoology",FP&M Campus Planning and Landscape Architecture,Botany,Zoology,Lakeshore Nature Preserve,,,,90,?,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Entomology 302 and 331: General Insect Collecting,2003,,"Bryn Scriver (FPM)\, Young\, Daniel/Entomology",FP&M Campus Planning and Landscape Architecture,Entomology,Lakeshore Nature Preserve,,,,,120,?,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,IES 375: Field Ecology Workshop/Quarter Point Survey of Wally Bauman Woods,2004,,"Bryn Scriver (FPM)\, Carpenter\, Quentin/Kaiser\, Zachary/Nelson Institute",FP&M Campus Planning and Landscape Architecture,"Environmental Studies\, Nelson Institute for",Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,"Military Science 644\, 111\, 211\, 311\, 411: Army Leadership Laboratory",2004,,"Bryn Scriver (FPM)\, Warren\, Kevin/Army ROTC",FP&M Campus Planning and Landscape Architecture,Military Science (Army ROTC),Lakeshore Nature Preserve,,,,,60,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Soils 325: Field Descriptions of Soil Profiles,2005,,"Bryn Scriver (FPM)\, Styles\, Cynthia/Soil Science",FP&M Campus Planning and Landscape Architecture,Soil Science,Lakeshore Nature Preserve,,,,,25,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Biocore 301/302: Biocore Prairie ,2005,,"Bryn Scriver (FPM)\, Batzli\,Janet; McGee\, Seth/Biocore",FP&M Campus Planning and Landscape Architecture,Biocore,Lakeshore Nature Preserve,,,,,150,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,"Military Science 644\, 111\, 211\, 311\, 411: Army Leadership Laboratory",2005,,"Bryn Scriver (FPM)\, Bechtol\, John; Ripberger\, Raymond/Army ROTC",FP&M Campus Planning and Landscape Architecture,Military Science (Army ROTC),Lakeshore Nature Preserve,,,,,60,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Summer Science Institute/ Biocore Prairie,2005,,"Bryn Scriver (FPM)\, Bohanan\, Robert/Steffansen\, Rebeccah/Institute for Biology Education/Biocore ",FP&M Campus Planning and Landscape Architecture,Biocore,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,IES 375: Field Ecology Workshop/Quarter Point Survey of Caretakers Woods,2005,,"Bryn Scriver (FPM)\, Carpenter\, Quentin/Nelson Institute",FP&M Campus Planning and Landscape Architecture,"Environmental Studies\, Nelson Institute for",Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,IES 375: Field Ecology Workshop/Quarter Point Re-survey of Caretakers Woods,2005,,"Bryn Scriver (FPM)\, Carpenter\, Quentin/Nelson Institute ",FP&M Campus Planning and Landscape Architecture,"Environmental Studies\, Nelson Institute for",Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,"Zoo 677: Study of the Distribution\, Relative Abundance\, and Age Structure of Norway Maples in a Mesic Woodland Community",2005,,"Bryn Scriver (FPM)\, Dodson\, Stanley; Bohanan\, Robert/Zoology",FP&M Campus Planning and Landscape Architecture,Zoology,Lakeshore Nature Preserve,,,,,2,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,CEE 619: Groudwater Investigation of Class of 1918 Marsh,2005,,"Bryn Scriver (FPM)\, Potter\, Ken/Civil and Environmental Engineering",FP&M Campus Planning and Landscape Architecture,Civil and Environmental Engineering,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Dispersal of Gypsy Moth Pathogens,2005,,"Bryn Scriver (FPM)\, Raffa\, Ken; Neilsen\, Charlotte",FP&M Campus Planning and Landscape Architecture,,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Picnic Point birds,2006,,"Bryn Scriver (FPM)\, Bohanan\, Robert/Sampson\, April/Institute for Biology Education",FP&M Campus Planning and Landscape Architecture,,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,IES 375: Field Ecology Workshop/Tree Survey Big Woods,2006,,"Bryn Scriver (FPM)\, Carpenter\, Quentin/Dubovsky\, Jason/Nelson Institute  ",FP&M Campus Planning and Landscape Architecture,"Environmental Studies\, Nelson Institute for",Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,IES 375: Field Ecology Workshop/Vegetation Survey University Bay,2006,,"Bryn Scriver (FPM)\, Carpenter\, Quentin/Matthews\, Eric/Nelson Institute",FP&M Campus Planning and Landscape Architecture,"Environmental Studies\, Nelson Institute for",Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,IES 375: Field Ecology Workshop/Quarter Point Forest Survey Exercise,2006,,"Bryn Scriver (FPM)\, Carpenter\, Quentin/Nelson Institute ",FP&M Campus Planning and Landscape Architecture,"Environmental Studies\, Nelson Institute for",Lakeshore Nature Preserve,,,,,20,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Navy ROTC ,2006,,"Bryn Scriver (FPM)\, Clay\, Darwin",FP&M Campus Planning and Landscape Architecture,Naval Science (Naval ROTC),Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Fantasy film for K-4 Reading Project,2006,,"Bryn Scriver (FPM)\, Doebel\, Steve/WI Public Television",FP&M Campus Planning and Landscape Architecture,,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,F,
,Gypsy Moth Pathogens,2006,,"Bryn Scriver (FPM)\, Raffa\, Ken; Hajek\, Ann; Hannam\, Josh",FP&M Campus Planning and Landscape Architecture,,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FS,
,Rust Spore Dispersal Gradient Study in Biocore Prairie,2006,,"Bryn Scriver (FPM)\, Newcomb\, Maria/Plant Pathology",FP&M Campus Planning and Landscape Architecture,Plant Pathology,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
