,Document/Program/Project Title,Document/Project Date,Action,Document Lead Authors/Project Contact,FP&M Department,Academic/Research/UW Divisions 1,Academic/Research/UW Divisions 2,Academic/Research/UW Divisions 3,Student Organization 1,Student Organization 2,Student Organization 3,Number of Student Participants/yr/class,Total Students Participants,Document Name (if applicable),Document Type,Partnership Type,
,Lighting Upgrades,,"6. Replace one-lamp and two-lamp T-12 lamps and ballasts with T-8 electronic ballasts and fluorescent lamps. Replace light fixtures\, where appropriate. Replace parking lot lighting with LED .2) Optimizing lighting use by installing occupancy sensors in areas of intermittent traffic and photo sensors in spaces with sufficient natural light",Randy Hagar,FP&M Physical Plant ,We Conserve,,,,,,,,general scope ESCO.xlsx,Program Review,F,
,Steam Tunnel Insulation Replacement,,"7. Replace insulation on steam and condensate piping\, valves\, and joint within approximately 7\,700 feet of tunnel and (109)-pits which are presently covered with inefficient and deteriorated insulation systems.",Randy Hagar,FP&M Physical Plant ,We Conserve,,,,,,,,general scope ESCO.xlsx,Program Review,F,
,Metering,,"8. Metering: add new Chilled Water\, Steam\, Electrical Power per requirements:",Randy Hagar,FP&M Physical Plant ,We Conserve,,,,,,,,general scope ESCO.xlsx,Program Review,F,
,Building System Optimization,,9. System commissioning : re commission buildings to optimize ,Randy Hagar,FP&M Physical Plant ,We Conserve,,,,,,,,general scope ESCO.xlsx,Program Review,F,
,We Conserve Mission,,The We Conserve initiative began in with the goal of reducing the campus environmental footprint by 20% relative to 2006  levels. A 60 million dollar investment from the State of Wisconsin was used to meet this goal by 2010. ,Faramarz Vakili,FP&M Physical Plant ,We Conserve,,,,,,,,http://conserve.wisc.edu/literate-activism.html#,Website,FA,
,Freshwater Usage Reduction - Fixtures,2002-2008,"Thousands of low flow plumbing fixtures including showerheads\, toilets\, and sinks have been installed on campus. A 41% reduction in UW-Madisons daily water consumption between 2002 and 2008.  Contributing to the 178 million gallons of water saved annually since 2006.",Faramarz Vakili,FP&M Physical Plant ,We Conserve,,,,,,,,http://conserve.wisc.edu/water.html#,Website,F,
,Freshwater Usage Reduction - Irrigation,,"Campus irrigation has been limited to high traffic areas\, new plantings\, and before 10am to reduce losses from evaporation. A 41% reduction in UW-Madisons daily water consumption between 2002 and 2008.  Contributing to the 178 million gallons of water saved annually since 2006.",Faramarz Vakili,FP&M Physical Plant ,We Conserve,,,,,,,,http://conserve.wisc.edu/water.html#,Website,F,
,Freshwater Usage Reduction - Mechanical Systems,2002-2008,Air conditioning systems cooled with potable water were replaced with more energy efficient alternatives. A 41% reduction in UW-Madisons daily water consumption between 2002 and 2008.  Contributing to the 178 million gallons of water saved annually since 2006.,Faramarz Vakili,FP&M Physical Plant ,We Conserve,,,,,,,,http://conserve.wisc.edu/water.html#,Website,F,
,Water Infrastructure Tracking System,,GIS based inventory of water delivery pipes aids in proactive maintenance and replacement,Faramarz Vakili,FP&M Physical Plant ,We Conserve,,,,,,,,http://conserve.wisc.edu/water.html#,Website,F,
,Rainwater Collection at Wisconsin Institute for Medical Research,,Students helped install a rainwater barrel at the Institute for Medical Research. Rainwater replaced 50% of freshwater used for garden irrigation,Faramarz Vakili,FP&M Physical Plant ,We Conserve,,,,,,,,http://conserve.wisc.edu/water.html#,Website,FS,
,"Energy Use\, Building Systems and Appliances",,"A combination of fine-tuning\,maintanence best practices and building occupant engagement to reduce energy use across campus. Reductions in energy usage after retrofits: Biotron 50%\, Bock Labs 64%\, Biotech 42%\, Engineering Centers 43%\, Chemistry 29%\, Engineering Hall 42%\, Rennebohm 53%\, and Chamberlin Hall 66%.",Faramarz Vakili,FP&M Physical Plant ,We Conserve,,,,,,,,http://conserve.wisc.edu/energy.html#,Website,F,
,"Energy Use\, Generation\, purchases and Distribution",,"Optimization of the campus central utility plants for generation of steam\, chilled water\, electricity\, and compressed air.  ",Faramarz Vakili,FP&M Physical Plant ,We Conserve,,,,,,,,,Website,F,
,Charter Street Heating Plant Natural Gas Conversion,7/4/05,Conversion of heating plant from coal to natural gas. 44% reduction in greenhouse gas emissions.,Rob Laampa,FP&M Physical Plant ,We Conserve,,,,,,,,http://sustainability.wisc.edu/forum2014/videos/#Welcome,Presentation,F,
,Renewable Energy Credits,,"UW Madison purchases renewable energy credits that help finance renewable energy generation and development\, offsetting a portion of the University's carbon footprint. Wind provides the equivalent of 15% of campus electricity.",Faramarz Vakili,FP&M Physical Plant ,We Conserve,,,,,,,,http://conserve.wisc.edu/energy.html#,Website,F,
,Utilities Distribution Infrastructure,,"Reconditioning of utilities distribution infrastructure for optimized safety\, energy\, efficiency\, and maintainability",Faramarz Vakili,FP&M Physical Plant ,We Conserve,,,,,,,,http://conserve.wisc.edu/energy.html#,Website,F,
,Promoting Responsible Consumption,,Poster Advertisement Campaign to discourage excessive consumerism,Faramarz Vakili,FP&M Physical Plant ,We Conserve,,,,,,,,http://conserve.wisc.edu/materials.html#,Website,FA,
,Filtered Water Stations,,150 Filtered Water stations around campus eliminate the need for hundreds of thousands of plastic bottles annually.,Dwayne Williams (We Conserve),FP&M Physical Plant ,We Conserve,,,,,,,,Operations Programs for this year.docx,Program Review,F,
,Reusable Food Containers at U. South,,On-the-Go reusable containers will soon replace disposables at Union South.,Faramarz Vakili,FP&M Physical Plant ,We Conserve,,,,,,,,http://conserve.wisc.edu/materials.html#,Website,F,
,InkJet and Printer cartridge refill program,,Ink cartridges can be sent through campus mail to be refiled at specific locations.  ,Faramarz Vakili,FP&M Physical Plant ,We Conserve,,,,,,,,http://conserve.wisc.edu/materials.html#,Website,F,
,Housing Move out Waste Reduction ,,Recycling and student donations at housing move-outs redirect materials from landfills. Landfill contributions reduced by half. ,Faramarz Vakili,FP&M Physical Plant ,We Conserve,,,,,,,,http://conserve.wisc.edu/materials.html#,Website,FS,
,WE-Trade Program,,"Encourages the trading of valuable assets including building space\, computing capacity\, laboratory equipment\, etc. in exchange for additional funding\, upgraded space/equipment\, and WE-credits",Faramarz Vakili,FP&M Physical Plant ,We Conserve,,,,,,,,http://conserve.wisc.edu/materials.html#,Website,F,
,Campus compost drop off locations,,"6 drop off locations serve as a way to divert food compost from entering the waste stream.  These personal drop off locations complement the commercial scale composting at UW Housing Dining Halls\, The Unions\, UW Hospital\, Athletics\, and Monona Terrace. Compost is returned to campus as fertilizer for the grounds department.",Faramarz Vakili,FP&M Physical Plant ,We Conserve,,,,,,,,http://conserve.wisc.edu/materials.html#,Website,F,
,Computers and E-Waste Recycling,,Small device recycling through recycling towers located around campus and the DoIT free recycling program,Dwayne Williams (We Conserve),FP&M Physical Plant ,,,,We Conserve,,,,,Operations Programs for this year.docx,Program Review,FS,
,Housing Recycling,,"In partnership with UW Housgin\, goal for every dorm to have two bins for recycling\, an in-room guide\, as well as a large poster guide in recycling rooms. Goal to achieve zero contamination of recycling stream.",Dwayne Williams (We Conserve),FP&M Physical Plant ,,,,We Conserve,,,,,Operations Programs for this year.docx,Program Review,FS,
,Athletic Game Day Recycling,,"In partnership with Athletics\, We Conserve assists with recycling efforts at all football\, hockey\, basketball\, wrestling\, and volleyball games.",Dwayne Williams (We Conserve),FP&M Physical Plant ,,,,,,,,,Operations Programs for this year.docx,Program Review,FS,
,Greeks Go Green,,"Helping Greek Culture to adopt recycling\, composting\, and volunteerism.",Dwayne Williams (We Conserve),FP&M Physical Plant ,,,,We Conserve,,,,,Operations Programs for this year.docx,Program Review,FS,
,DOE STEP Initiative,,Exploration of a 10 Mw s-CO2 Turbine installation at the UW Charter Street Plant.,Rob Laampa,FP&M Physical Plant ,,,,,,,,,SCO2 presentation.pptx,Presentation,FA,
,UW Boxable,,Boxable seeks to divert all expanded polystyrene from the landfill by creating pathways for local reuse and recycling. Physical plant and WeConserve coordinate the collection and recycling of styrofoam shipping boxes which are diverted from landfills and turned into useful consumer products. ,"The program is nationally recognized by the U.S. EPA and has won both Phase-I and Phase-II funding\, being awarded a total of $105\,000\, through the People\, Prosperity\, and the Planet (P3) student design competition for sustainability.",FP&M Physical Plant ,,,,We Conserve,,,,,http://sustainability.wisc.edu/styrofoam/,Website,FS,
,Space Management Office Mission Statement,,"The mission of the Space Management Office is to collect\, maintain\, supply and analyze UW-Madison facility utilization information; to identify\, assign and acquire space and real property resources required for all university academic\, research and administrative programs on and off campus; and to provide and support modern learning spaces with enhanced instructional technology.",Doug Rose,FP&M Space Management Office,,,,,,,,,https://fpm-www3.fpm.wisc.edu/spacemanagementoffice/Home/AboutUs/tabid/98/Default.aspx,Website,F,
,Space Utilization - Instructional - Classroom Utilization Study,6/1/12,"Through an Administrative Process Redesign (APR)\, a  team including the Space Management Office sought to develop an understanding of the current drivers and processes attendant to the utilization of classroom space and to use that knowledge to develop a plan for increasing the usage of or repurposing this space across campus. The team identified a number of opportunities to improve utilization\, including repurposing underutilized and/or unutilized space\, encouraging greater policy compliance\, exploring the use of enterprise-wide instructional space scheduling\, implementing a master scheduling calendar and creating incentives for more strategic decisions regarding use of space. ",Doug Rose,FP&M Space Management Office,,,,,,,,,http://www.apr.wisc.edu/classroomspace.htm,Website,FA,
,Space Utilization - Instructional - Utilization Review,5/1/13,"Through an Administrative Process Redesign (APR)\, this team was chartered to develop criteria and processes to evaluate underutilized instructional space and to define a process to determine the most effective utilization of instructional space\, including repurposing space\, increase instructional use\, upgrading technology and/or room features\, reclassifying primary use and decommission the use of the space. The team recommended new process to regularly review instructional space utilization and delineated steps to determine and recommend appropriate future instructional use and disposition of general assignment and department-controlled rooms that are utilized less than campus policy rate (67%).",Doug Rose,FP&M Space Management Office,,,,,,,,,http://www.apr.wisc.edu/instrspace.htm,Website,FA,
,Space Utilization - Instructional - College of Engineering Feasibility Modeling,6/1/14,"Through an Administrative Process Redesign (APR)\, this team's goal was to develop a model for evaluating the feasibility of various scheduling scenarios. By applying an array of constraints\, the team will deliver data outcomes that should help set direction for a scheduling pilot program. The study showed that using optimization techniques for scheduling can result in improved utilization of instructional space\, and has potential to reduce the overall number of rooms required to deploy the curriculum in the CoE.",Doug Rose,FP&M Space Management Office,"Engineering\, College of",,,,,,,,http://www.apr.wisc.edu/coemodeling.htm,Website,FA,
,INSITE Facilities Application,,"To better meet the Space Management Department’s space utilization\, alignment\, and planning goals\, we transitioned to a new web-based facility application\, INSITE (Net-FM). This program integrates facilities information with other campus data sources and allows implementation of new business practices for the university to achieve streamlined data collection\, efficient school/college/department data access\,and improved ability to link Principle Investigators and research grants to space.",Doug Rose,FP&M Space Management Office,,,,,,,,,https://fpm-www3.fpm.wisc.edu/spacemanagementoffice/Default.aspx,Website,F,
,Hospital Garage Expansion - LED Lighting Upgrade,10/14/14,Transportation Services collaborated with CP&D to replace metal halide and spec. LED lamps for exterior lamp posts,Patrick J Kass,FP&M Transportation Services,,,,,,,,,,personal communication,F,
,Transportation Services Sustainability Partnerships,8/18/14,An overview of Transportation Services numerous collaborations in multiple fields of sustainability  up to 2014,Patrick J Kass,FP&M Transportation Services,,,,,,,15,,Transportation Services Sustainability Partnerships,Program Review,F,
,Lighted Regulatory Sign Study,8/18/14,1. School of Engineering TOPS students are evaluating two types of lighted regulatory signs on campus streets to evaluate their effectiveness in increasing driver compliance and safety. 2014,,FP&M Transportation Services,Civil and Environmental Engineering,Traffic Operations and Safety Lab,,,,,15,,Transportation Services Sustainability Partnerships,Program Review,FA,
,Student mapping project,8/18/14,"3. Student interns in FPM’s Planning unit typically work with TS on a dozen or more design and mapping projects related to parking\, bus and bicycle facilities\, sidewalks\, and streets. 2005 - 2014",,FP&M Transportation Services,,,,,,,,,Transportation Services Sustainability Partnerships,Program Review,FS,
,Presentations to TOPS classes,8/18/14,"4. Several times over the past five years\, TS Director has presented at TOPS classes describing such things as the transportation aspects of specific major projects as well as the campus’ sustainable Long Range Transportation Plan. 2010 -2013.",Patrick Kass,FP&M Transportation Services,Civil and Environmental Engineering,Traffic Operations and Safety Lab,,,,,15,,Transportation Services Sustainability Partnerships,Program Review,FA,
,Power Washing Drains,8/18/14,Added pits in 2012 and 2013 to lots 17 and 76 to ensure waste water from power washing goes to a sanitary sewer thus preventing contamination of lakes.,,FP&M Transportation Services,,,,,,,,,Transportation Services Sustainability Partnerships,Program Review,F,
,Garage Clean Up for storm water,8/18/14,Added student staff to increase sweeping in garages thus reducing sand from entering storm water and providing students with supplemental income and work experience,,FP&M Transportation Services,,,,,,,3,,Transportation Services Sustainability Partnerships,Program Review,FS,
,Moped Mgmt.,8/18/14,"TS Collaborated with City of Madison to improve moped parking management and reduce accidents\, vehicle circulation\, and energy consumption.",,FP&M Transportation Services,,,,,,,,,Transportation Services Sustainability Partnerships,Program Review,F,
,Waste Reduction at parking lots,8/18/14,"Collaborated with We Conserve students to measure recycling and waste in garages during event days\, specifically hockey and basketball games in Lot 46.  Resulted in increasing the number of trash receptacles.",,FP&M Transportation Services,,,,We Conserve,,,,,Transportation Services Sustainability Partnerships,Program Review,FS,
,Parking Enforcement,8/18/14,"Increased the number of students writing citations providing improved compliance\, reduced fuel consumption\, and provided students with supplemental income while encouraging students to walk & bike while enforcing.",,FP&M Transportation Services,,,,,,,5,,Transportation Services Sustainability Partnerships,Program Review,FS,
,Carpool Permit,8/1/14,Designated carpool permit allows carpools of 3+ people to receive parking permits without having to go through the priority assignment process. Launched Fall of 2014,Dar Ward,FP&M Transportation Services,,,,,,,,,Transportation Services Sustainability Partnerships,Program Review,F,
,Electric Vehicle Charging Stations,7/1/14,"Electric vehicle charging survey completed in 2013 to determine demand. Stations initiated in July of 2014. 7 locations on campus providing free electric vehicle charging (Lot 7\, 17\, 20\, 29\, 36\, 64\, 75). Each location has two charging plugs. Lot 75 is a partnership with a private donor. Lot 64 is a partnership with MG&E",Dar Ward,FP&M Transportation Services,,,,,,,,,Transportation Services Sustainability Partnerships,Program Review,F,
,UW Housing Bicycle Program,1/1/14,TS partnered with UW Housing to take over management of their bicycle program to enhance consistency and accessible of bicycle parking on the campus. Initiated spring 2014.,Dar Ward,FP&M Transportation Services,UW Housing,,,,,,,,Transportation Services Sustainability Partnerships,Program Review,F,
,Reduction in Vehicle Idling Emissions Through Conversion of Signaled Intersection to Roundabout,12/27/13,Study of emissions reductions from conversion of Walnut and Observatory traffic light to roundabout. 83.7 Metric tons of CO2 are avoided annually from conversion to roundabout intersection.,"Dawson\, Pakes-Ahlman\, Kennedy",FP&M Transportation Services,Civil and Environmental Engineering,Traffic Operations and Safety Lab,Office of Sustainability,,,,,,Roundabout Emissions Reductions Final,UW Faculty Research,FA,
,Reduction in Vehicle Idling Emissions Using RFID Parking Permits,9/20/13,Analysis of RFID program to reduce vehicle idling emissions. Savings of 12.2 metric tons of CO2 emissions. Technology is now in use across the entire campus as well as at other leading collegiate institutions,"Dawson\, Pakes-Ahlman\, Graham\, Gutierrez\, Vilasdaeschanont",FP&M Transportation Services,Civil and Environmental Engineering,Radio Frequency ID Lab,,,,,10,,End of Summer report.docx,Working Document,FR,
, UW Hospital Park and Ride at Hillfarms ,9/1/13, Partnered with UW Hospital to fund the operation of a park and ride facility at Hillfarms to provide additional access to parking while reducing the number of single occupancy vehicles on the campus.,Dar Ward,FP&M Transportation Services,UW Hospital,,,,,,,,Transportation Services Sustainability Partnerships,Program Review,F,
,Park and Ride facility at Wingra ,9/1/13,Provided park and ride facility  to provide additional access to parking while reducing the number of single occupancy vehicles on the campus.,Dar Ward,FP&M Transportation Services,,,,,,,,,Transportation Services Sustainability Partnerships,Program Review,F,
,2012 On-Board Campus Bus Survey ,3/21/12,"A 4 day survey conducted during standard service schedule to identify ridership information. Approximately: 80% students\, 14% staff. 22% Eagle Heights\, 23% residence halls\, 50% other. 74% undergrad\, 21% graduate. 81% 12+credits.",TS Staff,FP&M Transportation Services,,,,,,,5,,2012_Campus_Bus_Survey_Final_Report(FINAL).pdf,Survey,F,
,Campus Bus and Accessibility Study,1/1/12,Consultant study (Nelson Nygaard) to evaluate campus bus service and accessibile transportation on campus. Several recommendations made including an accessible circulator shuttle which was implemented in Sept 2014,,,UW Hospital,McBurney Center,,ASM,,,,,Transportation Services Sustainability Partnerships,Program Review,FS,
,Transition to fuel powered LSV's,8/8/11,"Acquire fuel powered Low Speed Vehicles to replace and expand usage profiles similar to the NEV electric drive vehicles.  Initially 3\, up to 51 as of 1/7/2015. Use fossil fuel but the fuel efficiency is far superior to alternative vehicles on campus.  The Noise Vibration Harshness (NVH) profile of the vehicles is comparable to alternatives and sufficient.  These LSV's are available with both automatic transmission and four wheel drive.  The HVAC capabilities are comparable to alternatives and sufficient.",Jim Bogan - Fleet Mgr.,FP&M Transportation Services,,,,,,,,,,,F,
,Transportation.CleanDW.doc,9/17/10,"Draft from Sustainability Task Force\, Transporation Working group. Summary of TS diverse successes in promoting lower impact transport\, and vision goals for future.  Final recommendations accessible in Sustainabilty Task Force Final Report 2010. ",Patrick J Kass,FP&M Transportation Services,Academic Committee,,,ASM,,,,,Transportation.CleanDW.doc,Program Review,FAS,
,Eagle Heights 80/84 Bus Survey,3/16/10,"Survey of rider satisfaction with route 80/84 service. High degree of satisfaction overall\, some specific requests",TS Staff,FP&M Transportation Services,,,,,,,,,SURVEY RESULTS - SUMMARY v.1.xls,Survey,F,
,Recycling Trucks,5/1/09,"Support maximum flexibility in recycling by the use of (3 so far as of 1/7/2015) trucks with special bodies for sorting recycling into separate streams.  The trucks have three compartments\, each of these can dump their contents.  They are used to collect various recycling streams form single collection points while maintaining the separate recycling streams.  For instance picking up office paper plus corrugate paper plus aluminum and keeping them separate. The truck bodies required more reinforcement than the original design for one of the dumping compartments.  Cart tipper hydraulic arm devices were added in order to load heavier carts.  This allowed for the development of a food composting program.  The truck chassis were upgraded from one ton to clas five in order to support the heavier (wet) food waste loads.",Jim Bogan - Fleet Mgr.,FP&M Transportation Services,,,,,,,,,,,F,
,Commuter Solutions Individual Marketing,1/1/08,Encouraged alternatives to single-occupancy vehicle travel via individualized marketing program http://www.transportation.wisc.edu/forms/commutersolutions.aspx and at over 50 outreach events on campus each year.,Dar Ward,FP&M Transportation Services,,,,,,,,,http://www.transportation.wisc.edu/forms/commutersolutions.aspx,,F,
,Use of Neighborhood Electric Vehicles,1/8/07,"Acquire Neighborhood Electric Vehicles for use on campus to augment fleet after state mandated fleet cuts.  Initially\, three\, eventually up to 30\, as of 1/7/2015 down to 21. Useful to maintain productivity IF the users ""buy in"" to the idea of using electric drive.  Electric drive is reliable for propulsion but the HVAC abilities of the vehicles are insufficient\, the Noise Vibration Harshness (NVH) profile of the vehicles is both inferior to alternatives and insufficient for users who are not 'buying in'\, and parking restrictions for overnight charging limit the usefulness.  Very costly to obtain and the used vehcile market for them is insufficient.",Jim Bogan - Fleet Mgr.,FP&M Transportation Services,,,,,,,,,,,F,
,West Campus Bike and Pedestrian Circulation Improvements Report,9/2/03,A status report and draft of solutions for concerns from members of the Joint West Campus Area Committee (JWCAC). Report identifies ways to improve safety and accessibility for pedestrians and bicyclists in the study area. A handful of sidewalk additions and pedestrian thoroughfares would resolve many issues.  A handful of intersection problems point to need to re-prioritize pedestrians and bicyclists in future infrastructure redevelopment.  Most of proposed solutions have been completed as of 2015.,,FP&M Transportation Services,,,,,,,,,,Working Document,F,
,Employee Bus Pass,1/1/03,"Partnership with Madison Metro to provide low cost bus passes ($24 per year for a pass that is valued at over $700) to employees and affiliated employees. UW Health\, UW Foundation\, Alumni Association\, WARF/WICell\, Morgridge Institute for Research (MIR) covers the full cost for their employees. WI Historical Society also makes the pass available to their employees for a fee that they set. Survey data indicates that the the ridership of city buses increased after the employee bus pass became available in 2003. A similar trend was observed when the Associated Students of Madison began providing a pass in 1996.",Dar Ward,FP&M Transportation Services,UW Foundation,UW Alumni Association,Morgridge Institute for Research,,,,,,Transportation Services Sustainability Partnerships,Program Review,F,
,Student Bus Passes,1/1/96,Students have collectively purchased bus passes through segregated fees,,FP&M Transportation Services,,,,ASM,,,,,Transportation Services Sustainability Partnerships,Program Review,FS,
,SAFEwalk Program,1/1/92,Encouraged walking via the SAFEwalk program (student employees and customers) to reduce vehicle traffic on campus and improve campus safety and security. Initiated in 1992. SAFEwalk has seen a strong increase in use in the last two years.,Dar Ward,FP&M Transportation Services,,,,,,,30,,Transportation Services Sustainability Partnerships,Program Review,FS,
,Park and Ride facility at University Research Park,1/1/80,TS partnered with University Research Park to provide a park and ride facility  to provide additional access to parking while reducing the number of single occupancy vehicles on the campus.,Dar Ward,FP&M Transportation Services,University Research Park,,,,,,,,Transportation Services Sustainability Partnerships,Program Review,F,
,Single Occupancy Alternative Support Programs,1/1/80,"Supported alternatives to single-occupancy vehicle travel via flex parking\, emergency ride home\, and Zipcar car-share.",Dar Ward,FP&M Transportation Services,,,,,,,,,Transportation Services Sustainability Partnerships,Program Review,F,
,Carpool Program,1/1/80,Carpools of any size may share permit costs,Dar Ward,FP&M Transportation Services,,,,,,,,,Transportation Services Sustainability Partnerships,Program Review,F,
,Vanpool Program,1/1/80,Partnership with the Department of Administration to provide vanpool opportunities to campus.,Dar Ward,FP&M Transportation Services,,,,,,,,,Transportation Services Sustainability Partnerships,Program Review,F,
,Campus Bicycle Programs,1/1/80,"Encouraged student & employee bicycling through education\, engineering\, enforcement\, and encouragement. Programs include University Bicycle Resource Center (launched 2012\, provides open hours and events)\, bicycle parking (racks\, lockers/cages\, valet)\, departmental bicycle program and Bcycle bike share (program launched 2011\, reduced cost student/employee partnership begun 2012).  Increasing bicycle commuting to campus reduces energy consumption & air pollution while increasing exercise and employee health. Survey data shows a significant share of students and employees come to campus by bicycle. UBRC has up to 1\,000 visitors per year\, a majority of which are students.",Dar Ward,FP&M Transportation Services,,,,Torqued Bicycle Club,,,,,Transportation Services Sustainability Partnerships,Program Review,FS,
,Campus Bus,1/1/80,"Partnership with Associated Students of Madison\, Housing\, and Madison Metro to provide $1.5 million of campus bus service via routes 80\, 81\, 82\, 84. Student Transportation Board participates in campus bus planning. Up to 2 million students ride the campus bus each year.",Dar Ward,FP&M Transportation Services,UW Housing,,,ASM  ,,,,,Transportation Services Sustainability Partnerships,Program Review,FS,
,Campus mode share survey,1/1/70,"Monitored progress on student\, fac/staff\, and hospital employee mode share via data collection including a biennial campus mode share survey. Used survey information to prioritize product and service offerings. Survey has been conducted every two years since the 1970's. Feb 2013 Drive Alone Mode Share: fac/staff good weather  48%; hospital good weather  68%; students good weather  6%; fac/staff bad weather 53%; hospital bad weather 70%; students bad weather 7%.",Dar Ward,FP&M Transportation Services,UW Hospital,UW Survey Center,,,,,,,Transportation Services Sustainability Partnerships,Program Review,F,
,Donate and Take Tents Set-up in Campus Parking Lots,,Coordinated with ReThink to help set up the Donate and Take tents for move out waste Reduction,,,,,,ReThink Wisconsin,,,,,Transportation Services Sustainability Partnerships,Program Review,FS,
,BioFuel Program,,"Fleet trucks and campus construction and landscaping equipment use a B20 blend (20% biodiesel\, 80% diesel).  The 50\,000 gallons of fuel consumed equates to 10\,000 gallons biodiesel used annually in place of conventional diesel.   Increased fuel efficiency of modern diesel vehicles has led fleet to replace gas powered trucks with diesel as well",Jim Bogan - Fleet Mgr.,FP&M Transportation Services,,,,,,,,,Transportation.CleanDW.doc,Program Review,F,
,Campus Drive Bicycle Path,,TS funded a $1.5 Million dollar bike path along campus drive to improve bicycle commuting on campus. Contributed to the City of Madison's Gold Rating from the League of American Bicyclists.,,FP&M Transportation Services,,,,,,,,,,,F,
